ID do Cliente,Churn,Gênero,Idoso,Parceiro,Dependentes,Tempo de Assinatura(M),Serviço Telefônico,Múltiplas Linhas,Serviço de Internet,Segurança Online,Backup Online,Proteção de Dispositivo,Suporte Técnico,Streaming de TV,Streaming de Filmes,Contrato,Fatura Online,Método de Pagamento,Cobrança Mensal,Cobrança Total
0002-ORFBO,Não,Mulher,Não,Sim,Sim,9,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Não,Anual,Sim,Cheque impresso,65.6,593.3
0003-MKNFE,Não,Homem,Não,Não,Não,9,Sim,Sim,DSL,Não,Não,Não,Não,Não,Sim,Mensal,Não,Cheque impresso,59.9,542.4
0004-TLHLJ,Sim,Homem,Não,Não,Não,4,Sim,Não,Fiber optic,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Cheque eletrônico,73.9,280.85
0011-IGKFF,Sim,Homem,Sim,Sim,Não,13,Sim,Não,Fiber optic,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,98.0,1237.85
0013-EXCHZ,Sim,Mulher,Sim,Sim,Não,3,Sim,Não,Fiber optic,Não,Não,Não,Sim,Sim,Não,Mensal,Sim,Cheque impresso,83.9,267.4
0013-MHZWF,Não,Mulher,Não,Não,Sim,9,Sim,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cartão de crédito (automático),69.4,571.45
0013-SMEOE,Não,Mulher,Sim,Sim,Não,71,Sim,Não,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Transferência bancária (automática),109.7,7904.25
0014-BMAQU,Não,Homem,Não,Sim,Não,63,Sim,Sim,Fiber optic,Sim,Não,Não,Sim,Não,Não,Bienal,Sim,Cartão de crédito (automático),84.65,5377.8
0015-UOCOJ,Não,Mulher,Sim,Não,Não,7,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,48.2,340.35
0016-QLJIS,Não,Mulher,Não,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque impresso,90.45,5957.9
0017-DINOC,Não,Homem,Não,Não,Não,54,Não,Sem seviço de Telefone,DSL,Sim,Não,Não,Sim,Sim,Não,Bienal,Não,Cartão de crédito (automático),45.2,2460.55
0017-IUDMW,Não,Mulher,Não,Sim,Sim,72,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cartão de crédito (automático),116.8,8456.75
0018-NYROU,Não,Mulher,Não,Sim,Não,5,Sim,Não,Fiber optic,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,68.95,351.5
0019-EFAEP,Não,Mulher,Não,Não,Não,72,Sim,Sim,Fiber optic,Sim,Sim,Sim,Não,Sim,Não,Bienal,Sim,Transferência bancária (automática),101.3,7261.25
0019-GFNTW,Não,Mulher,Não,Não,Não,56,Não,Sem seviço de Telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Bienal,Não,Transferência bancária (automática),45.05,2560.1
0020-INWCK,Não,Mulher,Não,Sim,Sim,71,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Não,Sim,Bienal,Sim,Cartão de crédito (automático),95.75,6849.4
0020-JDNXP,Não,Mulher,Não,Sim,Sim,34,Não,Sem seviço de Telefone,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,Não,Cheque impresso,61.25,1993.2
0021-IKXGC,Não,Mulher,Sim,Não,Não,1,Sim,Sim,Fiber optic,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,72.1,72.1
